Community Health,1948301269
Community Health|Public Health,1948301269
Community Health|Public Health|Central Administration,34668805
Community Health|Public Health|Central Administration|Charges for Services,734250
Community Health|Public Health|Central Administration|Charges for Services|Outpatient Revenues,734000
Community Health|Public Health|Central Administration|Charges for Services|Outpatient Revenues|Medi-Cal TCM/MAA,734000
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges,250
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges|Misc Public Health Revenue,250
Community Health|Public Health|Central Administration|Expenditure Recovery,1286145
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds,988326
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Adult Probation (AAO),12446
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Human Resources (AAO),76452
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Human Services (AAO),581370
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Police Commission (AAO),196585
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Public Library (AAO),104028
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr War Memorial (AAO),17445
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to Non-AAO Fds,297819
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to Non-AAO Fds|Exp Rec-Unallocated (Non-AAO Fds),297819
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal,1512305
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other,1512305
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other|Federal Grants Pass-Through State/Other,416790
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other|Recovery Indirect Grant Costs,1095515
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State,31300000
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Sales Tax,4300000
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Sales Tax|Health/Welfare Sales Tax Allocation,4300000
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Veh License Fees,27000000
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Veh License Fees|Motor Veh Lic Fee-Realignment Fund,27000000
Community Health|Public Health|Central Administration|Other Revenues,1000000
Community Health|Public Health|Central Administration|Other Revenues|Gain/(Loss) On Sales of Fixed Assets,1000000
Community Health|Public Health|Central Administration|Other Revenues|Gain/(Loss) On Sales of Fixed Assets|Gain/Loss-Sale of Building & Structures,1000000
Community Health|Public Health|Central Administration|Rents & Concessions,122250
