Community Health,1441738455
Community Health|Public Health,1441738455
Community Health|Public Health|Central Administration,76355520
Community Health|Public Health|Central Administration|Charges for Services,1525120
Community Health|Public Health|Central Administration|Charges for Services|Outpatient Revenues,1524870
Community Health|Public Health|Central Administration|Charges for Services|Outpatient Revenues|Medi-Cal TCM/MAA,1524870
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges,250
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges|Misc Public Health Revenue,250
Community Health|Public Health|Central Administration|Expenditure Recovery,342141
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds,342141
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Human Services (AAO),342141
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal,1555911
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other,1555911
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other|Federal Grants Pass-Through State/Other,460396
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other|Recovery Indirect Grant Costs,1095515
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State,37141019
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Sales Tax,7043700
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Sales Tax|Health/Welfare Sales Tax Allocation,7043700
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Veh License Fees,28894100
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Veh License Fees|Motor Veh Lic Fee-Realignment Fund,28894100
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health Programs,1203219
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health Programs|Prop 99 - Tobacco Tax - AB75,1203219
Community Health|Public Health|Central Administration|Operating Transfers In,36058017
Community Health|Public Health|Central Administration|Operating Transfers In|Other Operating Transfers In (Oti),36058017
Community Health|Public Health|Central Administration|Operating Transfers In|Other Operating Transfers In (Oti)|OTI Fr 5H-General Hospital Fund,36058017
Community Health|Public Health|Central Administration|Rents & Concessions,75453
Community Health|Public Health|Central Administration|Rents & Concessions|Other City Property Rentals,38853
Community Health|Public Health|Central Administration|Rents & Concessions|Other City Property Rentals|Other City Property Rentals,38853
Community Health|Public Health|Central Administration|Rents & Concessions|Parking Garage/Lot Rentals,36600
Community Health|Public Health|Central Administration|Rents & Concessions|Parking Garage/Lot Rentals|Employee Parking,36600
Community Health|Public Health|Central Administration|Transfer Adjustments-Sources,-342141
Community Health|Public Health|Central Administration|Transfer Adjustments-Sources|Transfer Adjustments-Sources,-342141
Community Health|Public Health|Central Administration|Transfer Adjustments-Sources|Transfer Adjustments-Sources|Transfer Adjustments-Sources (Citywide),-342141
Community Health|Public Health|Children's Baseline,0
Community Health|Public Health|Children's Baseline|Expenditure Recovery,13763912
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to AAO Funds,13728533
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Child,Youth & Fam (AAO),2543653
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Children Youth & Familie(AAO),3625479
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Children and Families (AAO),2404026
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Human Services (AAO),5116475
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Juvenile Court (AAO),38900
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to Non-AAO Fds,35379
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to Non-AAO Fds|Exp Rec Fr Human Services (Non-AAO),35379
Community Health|Public Health|Children's Baseline|Transfer Adjustments-Sources,-13763912
Community Health|Public Health|Children's Baseline|Transfer Adjustments-Sources|Transfer Adjustments-Sources,-13763912
Community Health|Public Health|Children's Baseline|Transfer Adjustments-Sources|Transfer Adjustments-Sources|Transfer Adjustments-Sources (Citywide),-13763912
Community Health|Public Health|Comm Hlth - Comm Support - Housing,5957852
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Expenditure Recovery,1473177
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Expenditure Recovery|Recovery for Svcs to AAO Funds,473000
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Human Services (AAO),473000
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Expenditure Recovery|Recovery for Svcs to Non-AAO Fds,1000177
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Expenditure Recovery|Recovery for Svcs to Non-AAO Fds|Exp Rec-Unallocated (Non-AAO Fds),1000177
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Intergovernmental Revenues-Federal,5302951
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Intergovernmental Revenues-Federal|Federal-Other,5302951
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Intergovernmental Revenues-Federal|Federal-Other|Federal Direct Grant,5302951
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Operating Transfers In,654901
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Operating Transfers In|Other Operating Transfers In (Oti),654901
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Operating Transfers In|Other Operating Transfers In (Oti)|OTI Fr 2S/BIF-Bldg Inspection Fund,654901
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Transfer Adjustments-Sources,-1473177
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Transfer Adjustments-Sources|Transfer Adjustments-Sources,-1473177
Community Health|Public Health|Comm Hlth - Comm Support - Housing|Transfer Adjustments-Sources|Transfer Adjustments-Sources|Transfer Adjustments-Sources (Citywide),-1473177
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth,14272814
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Charges for Services,1043350
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Charges for Services|Outpatient Revenues,1036850
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Charges for Services|Outpatient Revenues|Child Health & Disability Prevention,10000
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Charges for Services|Outpatient Revenues|Medi-Cal CCS Therapy Unit,50000
