Community Health,2153111291
Community Health|Public Health,2153111291
Community Health|Public Health|Capital Asset Planning,100000
Community Health|Public Health|Capital Asset Planning|Capital Outlay,100000
Community Health|Public Health|Capital Asset Planning|Capital Outlay|Bldgs, Structures & Improvements,100000
Community Health|Public Health|Capital Asset Planning|Capital Outlay|Bldgs, Structures & Improvements|Bldgs Struct Imprv-T Project-Budget,100000
Community Health|Public Health|Central Administration,207340964
Community Health|Public Health|Central Administration|Capital Outlay,5300000
Community Health|Public Health|Central Administration|Capital Outlay|Bldgs, Structures & Improvements,2300000
Community Health|Public Health|Central Administration|Capital Outlay|Bldgs, Structures & Improvements|Bldgs Struct Imprv-T Project-Budget,2300000
Community Health|Public Health|Central Administration|Capital Outlay|Equip Purchase,3000000
Community Health|Public Health|Central Administration|Capital Outlay|Equip Purchase|Data Processing Equipment,3000000
Community Health|Public Health|Central Administration|Facilities Maintenance,68068
Community Health|Public Health|Central Administration|Facilities Maintenance|Facilities Maintenance Projects-Budget,68068
Community Health|Public Health|Central Administration|Facilities Maintenance|Facilities Maintenance Projects-Budget|Facilities Maintenance-Budget,68068
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits,23862205
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Dental Coverage,696546
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Dental Coverage|Dental Coverage,696546
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service,8361567
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Dependent Coverage-Miscellaneous,4813762
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Health Service-City Match,1835731
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Retiree Health Care - City Match -Prop C,539525
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Retiree Health Care - City Match-Prop B,1172549
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits,436509
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Flexible Benefit Package,272228
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Long Term Disability Insurance,160503
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Other Fringe Benefits,3778
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement,10259691
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement|Retire City Misc,10259691
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security,3957121
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security|Social Security (OASDI & HI),3147465
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security|Social Security - Medicare (HI Only),809656
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Unemployment Insurance,150771
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Unemployment Insurance|Unemployment Insurance,150771
Community Health|Public Health|Central Administration|Materials & Supplies,3299538
Community Health|Public Health|Central Administration|Materials & Supplies|Food,5050
Community Health|Public Health|Central Administration|Materials & Supplies|Food|Food,5050
