Community Health,1996438272
Community Health|Public Health,1996438272
Community Health|Public Health|Capital Asset Planning,4200000
Community Health|Public Health|Capital Asset Planning|Unappropriated Fund Balance,4200000
Community Health|Public Health|Capital Asset Planning|Unappropriated Fund Balance|Unappropriated Fund Balance,4200000
Community Health|Public Health|Capital Asset Planning|Unappropriated Fund Balance|Unappropriated Fund Balance|Prior Year Designated Reserve,4200000
Community Health|Public Health|Central Administration,58032282
Community Health|Public Health|Central Administration|Charges for Services,734250
Community Health|Public Health|Central Administration|Charges for Services|Outpatient Revenues,734000
Community Health|Public Health|Central Administration|Charges for Services|Outpatient Revenues|Medi-Cal TCM/MAA,734000
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges,250
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges|Misc Public Health Revenue,250
Community Health|Public Health|Central Administration|Expenditure Recovery,1115365
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds,1115365
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Adult Probation (AAO),16620
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Fire Dept (AAO),228211
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Human Resources (AAO),81043
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Human Services (AAO),462750
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Police Commission (AAO),204587
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Public Library (AAO),104028
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr War Memorial (AAO),18126
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal,2011992
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other,2011992
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other|Federal Direct Grant,1544226
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other|Federal Grants Pass-Through State/Other,467766
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State,29260000
