Community Health,2020313105
Community Health|Public Health,2020313105
Community Health|Public Health|Central Administration,59839597
Community Health|Public Health|Central Administration|Charges for Services,734250
Community Health|Public Health|Central Administration|Charges for Services|Outpatient Revenues,734000
Community Health|Public Health|Central Administration|Charges for Services|Outpatient Revenues|Medi-Cal TCM/MAA,734000
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges,250
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges|Misc Public Health Revenue,250
Community Health|Public Health|Central Administration|Expenditure Recovery,1128463
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds,1128463
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Adult Probation (AAO),16620
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr City Planning (AAO),5000
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr District Attorney (AAO),5000
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Fire Dept (AAO),228211
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Human Resources (AAO),83579
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Human Services (AAO),462750
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Police Commission (AAO),204587
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Public Library (AAO),104028
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr War Memorial (AAO),18688
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal,1935251
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other,1935251
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other|Federal Grants Pass-Through State/Other,1935251
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State,32144056
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State - Other,104056
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State - Other|Other State Grants & Subventions,104056
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Sales Tax,2540000
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Sales Tax|Health/Welfare Sales Tax Allocation,2540000
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Veh License Fees,29500000
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Veh License Fees|Motor Veh Lic Fee-Realignment Fund,29500000
