Community Health,1948301269
Community Health|Public Health,1948301269
Community Health|Public Health|Central Administration,49032070
Community Health|Public Health|Central Administration|Capital Outlay,2254241
Community Health|Public Health|Central Administration|Capital Outlay|Bldgs, Structures & Improvements,1650000
Community Health|Public Health|Central Administration|Capital Outlay|Bldgs, Structures & Improvements|Bldgs Struct Imprv-T Project-Budget,1650000
Community Health|Public Health|Central Administration|Capital Outlay|Equip Purchase,604241
Community Health|Public Health|Central Administration|Capital Outlay|Equip Purchase|Equipment Purchase-Budget,604241
Community Health|Public Health|Central Administration|Facilities Maintenance,56000
Community Health|Public Health|Central Administration|Facilities Maintenance|Facilities Maintenance Projects-Budget,56000
Community Health|Public Health|Central Administration|Facilities Maintenance|Facilities Maintenance Projects-Budget|Facilities Maintenance-Budget,56000
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits,7359530
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Dental Coverage,201310
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Dental Coverage|Dental Coverage,201310
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service,1957928
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Dependent Coverage-Miscellaneous,1241212
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Health Service-City Match,478148
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Retiree Health Care - City Match-Prop B,238568
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits,178127
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Flexible Benefit Package,111122
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Long Term Disability Insurance,45380
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Other Fringe Benefits,21625
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement,3768432
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement|Retire City Misc,3768432
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security,1209983
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security|Social Security (OASDI & HI),956268
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security|Social Security - Medicare (HI Only),253715
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Unemployment Insurance,43750
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Unemployment Insurance|Unemployment Insurance,43750
Community Health|Public Health|Central Administration|Materials & Supplies,634508
Community Health|Public Health|Central Administration|Materials & Supplies|Food,1000
Community Health|Public Health|Central Administration|Materials & Supplies|Food|Food,1000
Community Health|Public Health|Central Administration|Materials & Supplies|Materials & Supplies Budget Only,633508
Community Health|Public Health|Central Administration|Materials & Supplies|Materials & Supplies Budget Only|Materials & Supplies-Budget,633508
Community Health|Public Health|Central Administration|Non Personnel Services,12752887
