Community Health,2020313105
Community Health|Public Health,2020313105
Community Health|Public Health|Central Administration,160256785
Community Health|Public Health|Central Administration|Capital Outlay,1620000
Community Health|Public Health|Central Administration|Capital Outlay|Equip Purchase,1620000
Community Health|Public Health|Central Administration|Capital Outlay|Equip Purchase|Data Processing Equipment,1620000
Community Health|Public Health|Central Administration|Facilities Maintenance,64827
Community Health|Public Health|Central Administration|Facilities Maintenance|Facilities Maintenance Projects-Budget,64827
Community Health|Public Health|Central Administration|Facilities Maintenance|Facilities Maintenance Projects-Budget|Facilities Maintenance-Budget,64827
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits,22167527
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Dental Coverage,668545
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Dental Coverage|Dental Coverage,668545
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service,7513687
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Dependent Coverage-Miscellaneous,4411273
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Health Service-City Match,1660501
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Retiree Health Care - City Match -Prop C,348060
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Retiree Health Care - City Match-Prop B,1093853
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits,369117
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Flexible Benefit Package,211996
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Fringe Adjustments-Budget,-7780
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Long Term Disability Insurance,164911
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Other Fringe Benefits,-10
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement,9638989
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement|Retire City Misc,9638989
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security,3829122
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security|Social Security (OASDI & HI),3033692
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security|Social Security - Medicare (HI Only),795430
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Unemployment Insurance,148067
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Unemployment Insurance|Unemployment Insurance,148067
Community Health|Public Health|Central Administration|Materials & Supplies,5617765
Community Health|Public Health|Central Administration|Materials & Supplies|Food,5050
Community Health|Public Health|Central Administration|Materials & Supplies|Food|Food,5050
