Community Health,1642439127
Community Health|Public Health,1642439127
Community Health|Public Health|Central Administration,151666095
Community Health|Public Health|Central Administration|Capital Outlay,250000
Community Health|Public Health|Central Administration|Capital Outlay|Bldgs, Structures & Improvements,250000
Community Health|Public Health|Central Administration|Capital Outlay|Bldgs, Structures & Improvements|Bldgs Struct Imprv-T Project-Budget,250000
Community Health|Public Health|Central Administration|Facilities Maintenance,50000
Community Health|Public Health|Central Administration|Facilities Maintenance|Facilities Maintenance Projects-Budget,50000
Community Health|Public Health|Central Administration|Facilities Maintenance|Facilities Maintenance Projects-Budget|Facilities Maintenance-Budget,50000
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits,5787658
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Dental Coverage,199475
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Dental Coverage|Dental Coverage,199475
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service,1650242
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Dependent Coverage-Miscellaneous,646154
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Health Service-City Match,1004088
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits,154764
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Flexible Benefit Package,107268
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Fringe Adjustments-Budget,-11404
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Long Term Disability Insurance,58900
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement,2695610
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement|Retire City Misc,2663647
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement|Retirement Pick Up (Nurses),31963
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security,1049894
