budget_year,department,account_type,fund_code,account_category,amount
FY13-14,Aid Assistance,Expense,1G,Aid Assistance,47246198
FY13-14,Aid Assistance,Expense,2S,Aid Assistance,1423700
FY13-14,Aid Payments,Expense,1G,Aid Payments,244499779
FY13-14,Allocated Charges,Expense,2S,Allocated Charges,1502693
FY13-14,Business Taxes,Revenue,1G,Business Taxes,452805800
FY13-14,Business Taxes,Revenue,2S,Business Taxes,1000000
FY13-14,Capital Outlay,Expense,1G,Capital Outlay,41447276
FY13-14,Capital Outlay,Expense,2S,Capital Outlay,13499029
FY13-14,Capital Outlay,Expense,3C,Capital Outlay,10527538
FY13-14,Capital Outlay,Expense,5A,Capital Outlay,87949547
FY13-14,Capital Outlay,Expense,5C,Capital Outlay,1319167
FY13-14,Capital Outlay,Expense,5H,Capital Outlay,4272562
FY13-14,Capital Outlay,Expense,5L,Capital Outlay,145354
FY13-14,Capital Outlay,Expense,5M,Capital Outlay,538674
FY13-14,Capital Outlay,Expense,5N,Capital Outlay,525278
FY13-14,Capital Outlay,Expense,5O,Capital Outlay,25047
FY13-14,Capital Outlay,Expense,5P,Capital Outlay,12965227
FY13-14,Capital Outlay,Expense,5T,Capital Outlay,2830824
FY13-14,Capital Outlay,Expense,5W,Capital Outlay,3933216
FY13-14,Capital Outlay,Expense,6I,Capital Outlay,11282870
FY13-14,Capital Outlay,Expense,7P,Capital Outlay,172287
FY13-14,Charges for Services,Revenue,1G,Charges for Services,166763247
FY13-14,Charges for Services,Revenue,2S,Charges for Services,86806599
FY13-14,Charges for Services,Revenue,5A,Charges for Services,484589000
FY13-14,Charges for Services,Revenue,5C,Charges for Services,229093900
FY13-14,Charges for Services,Revenue,5H,Charges for Services,610564823
FY13-14,Charges for Services,Revenue,5L,Charges for Services,121353224
FY13-14,Charges for Services,Revenue,5M,Charges for Services,213189340
FY13-14,Charges for Services,Revenue,5N,Charges for Services,11873000
FY13-14,Charges for Services,Revenue,5O,Charges for Services,5100
FY13-14,Charges for Services,Revenue,5P,Charges for Services,12872524
FY13-14,Charges for Services,Revenue,5T,Charges for Services,38641926
FY13-14,Charges for Services,Revenue,5W,Charges for Services,365174909
FY13-14,Charges for Services,Revenue,5X,Charges for Services,77194
FY13-14,Charges for Services,Revenue,7S,Charges for Services,628000
FY13-14,City Grant Programs,Expense,1G,City Grant Programs,170039134
