budget_year,department,account_type,fund_code,account_category,amount
FY14-15,Aid Assistance,Expense,1G,Aid Assistance,48272888
FY14-15,Aid Assistance,Expense,2S,Aid Assistance,843776
FY14-15,Aid Payments,Expense,1G,Aid Payments,240478153
FY14-15,Allocated Charges,Expense,2S,Allocated Charges,1400311
FY14-15,Business Taxes,Revenue,1G,Business Taxes,532988000
FY14-15,Business Taxes,Revenue,2S,Business Taxes,1000000
FY14-15,Capital Contributions-State,Revenue,1G,Capital Contributions-State,56700
FY14-15,Capital Outlay,Expense,1G,Capital Outlay,61304559
FY14-15,Capital Outlay,Expense,2S,Capital Outlay,45059375
FY14-15,Capital Outlay,Expense,3C,Capital Outlay,1778961
FY14-15,Capital Outlay,Expense,5A,Capital Outlay,77054316
FY14-15,Capital Outlay,Expense,5C,Capital Outlay,671899
FY14-15,Capital Outlay,Expense,5H,Capital Outlay,5821500
FY14-15,Capital Outlay,Expense,5L,Capital Outlay,208155
FY14-15,Capital Outlay,Expense,5M,Capital Outlay,506176
FY14-15,Capital Outlay,Expense,5N,Capital Outlay,5490503
FY14-15,Capital Outlay,Expense,5O,Capital Outlay,28297
FY14-15,Capital Outlay,Expense,5P,Capital Outlay,14942421
FY14-15,Capital Outlay,Expense,5T,Capital Outlay,3680598
FY14-15,Capital Outlay,Expense,5W,Capital Outlay,9861924
FY14-15,Capital Outlay,Expense,6I,Capital Outlay,1504322
FY14-15,Capital Outlay,Expense,7P,Capital Outlay,22784
FY14-15,Charges for Services,Revenue,1G,Charges for Services,177047549
FY14-15,Charges for Services,Revenue,2S,Charges for Services,94414800
FY14-15,Charges for Services,Revenue,5A,Charges for Services,548452000
FY14-15,Charges for Services,Revenue,5C,Charges for Services,240677500
FY14-15,Charges for Services,Revenue,5H,Charges for Services,647337258
FY14-15,Charges for Services,Revenue,5L,Charges for Services,128906328
FY14-15,Charges for Services,Revenue,5M,Charges for Services,212039334
FY14-15,Charges for Services,Revenue,5N,Charges for Services,12521000
FY14-15,Charges for Services,Revenue,5O,Charges for Services,5100
FY14-15,Charges for Services,Revenue,5P,Charges for Services,13830031
FY14-15,Charges for Services,Revenue,5T,Charges for Services,40246032
FY14-15,Charges for Services,Revenue,5W,Charges for Services,392778109
FY14-15,Charges for Services,Revenue,5X,Charges for Services,78738
FY14-15,Charges for Services,Revenue,6I,Charges for Services,700000
FY14-15,City Grant Programs,Expense,1G,City Grant Programs,174677407
