budget_year,department,account_type,fund_code,account_category,amount
FY15-16,Aid Assistance,Expense,1G,Aid Assistance,58420356
FY15-16,Aid Assistance,Expense,2S,Aid Assistance,614776
FY15-16,Aid Payments,Expense,1G,Aid Payments,279680066
FY15-16,Allocated Charges,Expense,2S,Allocated Charges,1400311
FY15-16,Allocated Charges,Expense,7S,Allocated Charges,1
FY15-16,Business Taxes,Revenue,1G,Business Taxes,572385000
FY15-16,Business Taxes,Revenue,2S,Business Taxes,1000000
FY15-16,Capital Outlay,Expense,1G,Capital Outlay,117555401
FY15-16,Capital Outlay,Expense,2S,Capital Outlay,64856591
FY15-16,Capital Outlay,Expense,5A,Capital Outlay,86601448
FY15-16,Capital Outlay,Expense,5C,Capital Outlay,1006504
FY15-16,Capital Outlay,Expense,5H,Capital Outlay,10580003
FY15-16,Capital Outlay,Expense,5L,Capital Outlay,1409929
FY15-16,Capital Outlay,Expense,5M,Capital Outlay,13229026
FY15-16,Capital Outlay,Expense,5N,Capital Outlay,8101492
FY15-16,Capital Outlay,Expense,5P,Capital Outlay,19465662
FY15-16,Capital Outlay,Expense,5T,Capital Outlay,3620660
FY15-16,Capital Outlay,Expense,5W,Capital Outlay,14928824
FY15-16,Capital Outlay,Expense,5X,Capital Outlay,3000000
FY15-16,Capital Outlay,Expense,6I,Capital Outlay,2115060
FY15-16,Capital Outlay,Expense,7P,Capital Outlay,153544
FY15-16,Charges for Services,Revenue,1G,Charges for Services,209809511
FY15-16,Charges for Services,Revenue,2S,Charges for Services,102604353
FY15-16,Charges for Services,Revenue,5A,Charges for Services,608434000
FY15-16,Charges for Services,Revenue,5C,Charges for Services,259064289
FY15-16,Charges for Services,Revenue,5H,Charges for Services,691057866
FY15-16,Charges for Services,Revenue,5L,Charges for Services,151258541
FY15-16,Charges for Services,Revenue,5M,Charges for Services,225552356
FY15-16,Charges for Services,Revenue,5N,Charges for Services,12940460
FY15-16,Charges for Services,Revenue,5O,Charges for Services,10000
FY15-16,Charges for Services,Revenue,5P,Charges for Services,16732000
FY15-16,Charges for Services,Revenue,5T,Charges for Services,46519069
FY15-16,Charges for Services,Revenue,5W,Charges for Services,412683756
FY15-16,Charges for Services,Revenue,5X,Charges for Services,5000
FY15-16,Charges for Services,Revenue,6I,Charges for Services,700000
FY15-16,City Grant Programs,Expense,1G,City Grant Programs,203072666
FY15-16,City Grant Programs,Expense,2S,City Grant Programs,213911737
FY15-16,City Grant Programs,Expense,5W,City Grant Programs,2604178
FY15-16,City Grant Programs,Expense,7E,City Grant Programs,76350
FY15-16,City Grant Programs,Expense,7S,City Grant Programs,5312467
FY15-16,Contributions (Ret, HSS, Health Care),Revenue,7P,Contributions (Ret, HSS, Health Care),26025156
FY15-16,Contributions (Ret, HSS, Health Care),Revenue,7R,Contributions (Ret, HSS, Health Care),21750000
FY15-16,Debt Service,Expense,1G,Debt Service,5319219
FY15-16,Debt Service,Expense,2S,Debt Service,2559480
FY15-16,Debt Service,Expense,4D,Debt Service,253253659
FY15-16,Debt Service,Expense,5A,Debt Service,390477686
FY15-16,Debt Service,Expense,5C,Debt Service,54768723
FY15-16,Debt Service,Expense,5H,Debt Service,2862157
FY15-16,Debt Service,Expense,5L,Debt Service,12997272
FY15-16,Debt Service,Expense,5M,Debt Service,2000000
FY15-16,Debt Service,Expense,5P,Debt Service,9396259
FY15-16,Debt Service,Expense,5T,Debt Service,3444584
FY15-16,Debt Service,Expense,5W,Debt Service,244760963
FY15-16,Debt Service,Expense,5X,Debt Service,10000000
FY15-16,Debt Service,Expense,7S,Debt Service,119554756
FY15-16,Expenditure Recovery,Revenue,1G,Expenditure Recovery,400684172
FY15-16,Expenditure Recovery,Revenue,2S,Expenditure Recovery,208026818
FY15-16,Expenditure Recovery,Revenue,5A,Expenditure Recovery,8648402
FY15-16,Expenditure Recovery,Revenue,5C,Expenditure Recovery,7227854
FY15-16,Expenditure Recovery,Revenue,5H,Expenditure Recovery,24050
FY15-16,Expenditure Recovery,Revenue,5L,Expenditure Recovery,229950
FY15-16,Expenditure Recovery,Revenue,5M,Expenditure Recovery,107870592
FY15-16,Expenditure Recovery,Revenue,5N,Expenditure Recovery,1508500
FY15-16,Expenditure Recovery,Revenue,5O,Expenditure Recovery,40000
FY15-16,Expenditure Recovery,Revenue,5P,Expenditure Recovery,170000
FY15-16,Expenditure Recovery,Revenue,5T,Expenditure Recovery,92991527
FY15-16,Expenditure Recovery,Revenue,5W,Expenditure Recovery,176437685
FY15-16,Expenditure Recovery,Revenue,6I,Expenditure Recovery,119396488
FY15-16,Expenditure Recovery,Revenue,7P,Expenditure Recovery,40515
FY15-16,Facilities Maintenance,Expense,1G,Facilities Maintenance,9604428
FY15-16,Facilities Maintenance,Expense,2S,Facilities Maintenance,712000
FY15-16,Facilities Maintenance,Expense,5A,Facilities Maintenance,11403000
FY15-16,Facilities Maintenance,Expense,5C,Facilities Maintenance,6054000
FY15-16,Facilities Maintenance,Expense,5H,Facilities Maintenance,1213000
FY15-16,Facilities Maintenance,Expense,5L,Facilities Maintenance,1048000
