budget_year,department,account_type,fund_code,account_category,amount
FY10-11,Aid Assistance,Expense,1G,Aid Assistance,42101972
FY10-11,Aid Payments,Expense,1G,Aid Payments,256854258
FY10-11,Allocated Charges,Expense,2S,Allocated Charges,1267090
FY10-11,Business Taxes,Revenue,1G,Business Taxes,371848000
FY10-11,Business Taxes,Revenue,2S,Business Taxes,900000
FY10-11,Capital Outlay,Expense,1G,Capital Outlay,21018459
FY10-11,Capital Outlay,Expense,2S,Capital Outlay,10157291
FY10-11,Capital Outlay,Expense,3C,Capital Outlay,99710855
FY10-11,Capital Outlay,Expense,5A,Capital Outlay,81253011
FY10-11,Capital Outlay,Expense,5C,Capital Outlay,23266829
FY10-11,Capital Outlay,Expense,5H,Capital Outlay,24176099
FY10-11,Capital Outlay,Expense,5L,Capital Outlay,49136686
FY10-11,Capital Outlay,Expense,5P,Capital Outlay,23400224
FY10-11,Capital Outlay,Expense,5T,Capital Outlay,62797350
FY10-11,Capital Outlay,Expense,5W,Capital Outlay,43608659
FY10-11,Capital Outlay,Expense,6I,Capital Outlay,9623496
FY10-11,Capital Outlay,Expense,7P,Capital Outlay,92253
FY10-11,Charges for Services,Revenue,1G,Charges for Services,147014815
FY10-11,Charges for Services,Revenue,2S,Charges for Services,78291316
FY10-11,Charges for Services,Revenue,5A,Charges for Services,408016000
FY10-11,Charges for Services,Revenue,5C,Charges for Services,219839274
FY10-11,Charges for Services,Revenue,5H,Charges for Services,420341157
FY10-11,Charges for Services,Revenue,5L,Charges for Services,118864035
FY10-11,Charges for Services,Revenue,5M,Charges for Services,195163421
FY10-11,Charges for Services,Revenue,5N,Charges for Services,7388770
FY10-11,Charges for Services,Revenue,5O,Charges for Services,428341
FY10-11,Charges for Services,Revenue,5P,Charges for Services,12481500
FY10-11,Charges for Services,Revenue,5T,Charges for Services,90940994
FY10-11,Charges for Services,Revenue,5W,Charges for Services,276147788
FY10-11,City Grant Programs,Expense,1G,City Grant Programs,146879463
FY10-11,City Grant Programs,Expense,2S,City Grant Programs,171102672
FY10-11,Contributions (Ret, HSS, Health Care),Revenue,7P,Contributions (Ret, HSS, Health Care),17915612
FY10-11,Debt Service,Expense,1G,Debt Service,5566834
FY10-11,Debt Service,Expense,2S,Debt Service,3426068
FY10-11,Debt Service,Expense,4D,Debt Service,193402350
FY10-11,Debt Service,Expense,5A,Debt Service,304468115
FY10-11,Debt Service,Expense,5C,Debt Service,66834098
FY10-11,Debt Service,Expense,5N,Debt Service,2429892
FY10-11,Debt Service,Expense,5P,Debt Service,4702760
FY10-11,Debt Service,Expense,5T,Debt Service,421668
FY10-11,Debt Service,Expense,5W,Debt Service,70210654
FY10-11,Debt Service,Expense,5X,Debt Service,1691383
FY10-11,Expenditure Recovery,Revenue,1G,Expenditure Recovery,352818047
FY10-11,Expenditure Recovery,Revenue,2S,Expenditure Recovery,174866658
FY10-11,Expenditure Recovery,Revenue,5A,Expenditure Recovery,20000
FY10-11,Expenditure Recovery,Revenue,5C,Expenditure Recovery,7078301
FY10-11,Expenditure Recovery,Revenue,5H,Expenditure Recovery,4338127
FY10-11,Expenditure Recovery,Revenue,5M,Expenditure Recovery,55373881
FY10-11,Expenditure Recovery,Revenue,5N,Expenditure Recovery,6003091
FY10-11,Expenditure Recovery,Revenue,5O,Expenditure Recovery,300000
FY10-11,Expenditure Recovery,Revenue,5P,Expenditure Recovery,303000
FY10-11,Expenditure Recovery,Revenue,5T,Expenditure Recovery,77021144
FY10-11,Expenditure Recovery,Revenue,5W,Expenditure Recovery,133862049
FY10-11,Expenditure Recovery,Revenue,6I,Expenditure Recovery,107244685
FY10-11,Expenditure Recovery,Revenue,7P,Expenditure Recovery,25000
FY10-11,Expenditure Recovery,Revenue,8A,Expenditure Recovery,800000
FY10-11,Facilities Maintenance,Expense,1G,Facilities Maintenance,8193707
FY10-11,Facilities Maintenance,Expense,2S,Facilities Maintenance,965250
FY10-11,Facilities Maintenance,Expense,5A,Facilities Maintenance,4000000
FY10-11,Facilities Maintenance,Expense,5C,Facilities Maintenance,1200000
FY10-11,Facilities Maintenance,Expense,5H,Facilities Maintenance,1000000
FY10-11,Facilities Maintenance,Expense,5L,Facilities Maintenance,750000
FY10-11,Facilities Maintenance,Expense,5P,Facilities Maintenance,3727500
FY10-11,Facilities Maintenance,Expense,5T,Facilities Maintenance,3552819
FY10-11,Facilities Maintenance,Expense,5W,Facilities Maintenance,6265900
FY10-11,Facilities Maintenance,Expense,8A,Facilities Maintenance,425710
FY10-11,Fines, Forfeitures & Penalties,Revenue,1G,Fines, Forfeitures & Penalties,3761036
FY10-11,Fines, Forfeitures & Penalties,Revenue,2S,Fines, Forfeitures & Penalties,3894489
FY10-11,Fines, Forfeitures & Penalties,Revenue,5A,Fines, Forfeitures & Penalties,301000
FY10-11,Fines, Forfeitures & Penalties,Revenue,5L,Fines, Forfeitures & Penalties,49136686
FY10-11,Fines, Forfeitures & Penalties,Revenue,5M,Fines, Forfeitures & Penalties,101591195
FY10-11,Fines, Forfeitures & Penalties,Revenue,5N,Fines, Forfeitures & Penalties,3416000
FY10-11,Fines, Forfeitures & Penalties,Revenue,5P,Fines, Forfeitures & Penalties,1600000
FY10-11,General Fund Support,Revenue,2S,General Fund Support,68517446
FY10-11,General Fund Support,Revenue,5H,General Fund Support,124245443
FY10-11,General Fund Support,Revenue,5L,General Fund Support,39796858
FY10-11,General Fund Support,Revenue,5M,General Fund Support,129470000
FY10-11,General Fund Support,Revenue,5N,General Fund Support,48830000
FY10-11,ISF Charges for Services,Revenue,5H,ISF Charges for Services,2935315
FY10-11,Interest & Investment Income,Revenue,1G,Interest & Investment Income,11581815
FY10-11,Interest & Investment Income,Revenue,2S,Interest & Investment Income,2568045
FY10-11,Interest & Investment Income,Revenue,3C,Interest & Investment Income,1317290
FY10-11,Interest & Investment Income,Revenue,5A,Interest & Investment Income,22985484
FY10-11,Interest & Investment Income,Revenue,5C,Interest & Investment Income,1570325
FY10-11,Interest & Investment Income,Revenue,5M,Interest & Investment Income,2210000
FY10-11,Interest & Investment Income,Revenue,5N,Interest & Investment Income,1275000
FY10-11,Interest & Investment Income,Revenue,5P,Interest & Investment Income,795000
FY10-11,Interest & Investment Income,Revenue,5T,Interest & Investment Income,2499342
FY10-11,Interest & Investment Income,Revenue,5W,Interest & Investment Income,1927363
FY10-11,Interest & Investment Income,Revenue,5X,Interest & Investment Income,1275000
FY10-11,Interest & Investment Income,Revenue,7A,Interest & Investment Income,81000
FY10-11,Interest & Investment Income,Revenue,7E,Interest & Investment Income,155000
FY10-11,Interest & Investment Income,Revenue,7P,Interest & Investment Income,248762
FY10-11,Intergovernmental Revenues-Federal,Revenue,1G,Intergovernmental Revenues-Federal,235614422
FY10-11,Intergovernmental Revenues-Federal,Revenue,2S,Intergovernmental Revenues-Federal,139604744
FY10-11,Intergovernmental Revenues-Federal,Revenue,3C,Intergovernmental Revenues-Federal,2766103
FY10-11,Intergovernmental Revenues-Federal,Revenue,5A,Intergovernmental Revenues-Federal,60165048
FY10-11,Intergovernmental Revenues-Federal,Revenue,5H,Intergovernmental Revenues-Federal,13770439
FY10-11,Intergovernmental Revenues-Federal,Revenue,5L,Intergovernmental Revenues-Federal,2970500
