budget_year,department,account_type,fund_code,account_category,amount
FY16-17,Aid Assistance,Expense,1G,Aid Assistance,52980112
FY16-17,Aid Assistance,Expense,2S,Aid Assistance,4910327
FY16-17,Aid Payments,Expense,1G,Aid Payments,287416974
FY16-17,Allocated Charges,Expense,2S,Allocated Charges,1502692
FY16-17,Business Taxes,Revenue,1G,Business Taxes,634460000
FY16-17,Business Taxes,Revenue,2S,Business Taxes,1900000
FY16-17,Capital Outlay,Expense,1G,Capital Outlay,137252598
FY16-17,Capital Outlay,Expense,2S,Capital Outlay,43635146
FY16-17,Capital Outlay,Expense,3C,Capital Outlay,38445113
FY16-17,Capital Outlay,Expense,5A,Capital Outlay,28341180
FY16-17,Capital Outlay,Expense,5C,Capital Outlay,693001
FY16-17,Capital Outlay,Expense,5H,Capital Outlay,3348554
FY16-17,Capital Outlay,Expense,5L,Capital Outlay,845596
FY16-17,Capital Outlay,Expense,5M,Capital Outlay,42618475
FY16-17,Capital Outlay,Expense,5N,Capital Outlay,26652637
FY16-17,Capital Outlay,Expense,5P,Capital Outlay,17715955
FY16-17,Capital Outlay,Expense,5T,Capital Outlay,3535162
FY16-17,Capital Outlay,Expense,5W,Capital Outlay,13445317
FY16-17,Capital Outlay,Expense,5X,Capital Outlay,3000000
FY16-17,Capital Outlay,Expense,6I,Capital Outlay,313745
FY16-17,Capital Outlay,Expense,7P,Capital Outlay,101735
FY16-17,Charges for Services,Revenue,1G,Charges for Services,215484761
FY16-17,Charges for Services,Revenue,2S,Charges for Services,97988607
FY16-17,Charges for Services,Revenue,5A,Charges for Services,592244000
FY16-17,Charges for Services,Revenue,5C,Charges for Services,257219182
FY16-17,Charges for Services,Revenue,5H,Charges for Services,722167225
FY16-17,Charges for Services,Revenue,5L,Charges for Services,161611158
FY16-17,Charges for Services,Revenue,5M,Charges for Services,222031000
FY16-17,Charges for Services,Revenue,5N,Charges for Services,13140000
FY16-17,Charges for Services,Revenue,5O,Charges for Services,10000
FY16-17,Charges for Services,Revenue,5P,Charges for Services,17847564
FY16-17,Charges for Services,Revenue,5T,Charges for Services,45905926
FY16-17,Charges for Services,Revenue,5W,Charges for Services,465121685
FY16-17,Charges for Services,Revenue,5X,Charges for Services,6000
FY16-17,Charges for Services,Revenue,6I,Charges for Services,700000
FY16-17,City Grant Programs,Expense,1G,City Grant Programs,263026693
FY16-17,City Grant Programs,Expense,2S,City Grant Programs,243298843
FY16-17,City Grant Programs,Expense,5C,City Grant Programs,250000
FY16-17,City Grant Programs,Expense,5W,City Grant Programs,2604178
FY16-17,City Grant Programs,Expense,7E,City Grant Programs,76350
FY16-17,City Grant Programs,Expense,7S,City Grant Programs,4005000
FY16-17,Contributions (Ret, HSS, Health Care),Revenue,7P,Contributions (Ret, HSS, Health Care),25246241
FY16-17,Contributions (Ret, HSS, Health Care),Revenue,7R,Contributions (Ret, HSS, Health Care),31000000
FY16-17,Debt Service,Expense,1G,Debt Service,2372347
FY16-17,Debt Service,Expense,2S,Debt Service,13407916
FY16-17,Debt Service,Expense,4D,Debt Service,210971054
FY16-17,Debt Service,Expense,5A,Debt Service,424391269
FY16-17,Debt Service,Expense,5C,Debt Service,65922139
FY16-17,Debt Service,Expense,5H,Debt Service,2858155
FY16-17,Debt Service,Expense,5L,Debt Service,13014156
FY16-17,Debt Service,Expense,5M,Debt Service,5000000
FY16-17,Debt Service,Expense,5P,Debt Service,9295159
FY16-17,Debt Service,Expense,5T,Debt Service,3413829
FY16-17,Debt Service,Expense,5W,Debt Service,268936409
FY16-17,Debt Service,Expense,5X,Debt Service,10000000
FY16-17,Debt Service,Expense,7S,Debt Service,108994702
FY16-17,Expenditure Recovery,Revenue,1G,Expenditure Recovery,384816417
FY16-17,Expenditure Recovery,Revenue,2S,Expenditure Recovery,283999342
FY16-17,Expenditure Recovery,Revenue,3C,Expenditure Recovery,2700000
FY16-17,Expenditure Recovery,Revenue,5A,Expenditure Recovery,9272869
FY16-17,Expenditure Recovery,Revenue,5C,Expenditure Recovery,8166162
FY16-17,Expenditure Recovery,Revenue,5H,Expenditure Recovery,231138
FY16-17,Expenditure Recovery,Revenue,5L,Expenditure Recovery,229950
FY16-17,Expenditure Recovery,Revenue,5M,Expenditure Recovery,116424761
FY16-17,Expenditure Recovery,Revenue,5N,Expenditure Recovery,2327000
FY16-17,Expenditure Recovery,Revenue,5O,Expenditure Recovery,40000
FY16-17,Expenditure Recovery,Revenue,5P,Expenditure Recovery,170000
FY16-17,Expenditure Recovery,Revenue,5T,Expenditure Recovery,99653582
FY16-17,Expenditure Recovery,Revenue,5W,Expenditure Recovery,176870668
FY16-17,Expenditure Recovery,Revenue,6I,Expenditure Recovery,120305717
FY16-17,Expenditure Recovery,Revenue,7P,Expenditure Recovery,40515
FY16-17,Facilities Maintenance,Expense,1G,Facilities Maintenance,7925826
FY16-17,Facilities Maintenance,Expense,2S,Facilities Maintenance,4679360
FY16-17,Facilities Maintenance,Expense,5A,Facilities Maintenance,12084000
FY16-17,Facilities Maintenance,Expense,5C,Facilities Maintenance,6121000
FY16-17,Facilities Maintenance,Expense,5H,Facilities Maintenance,1273650
FY16-17,Facilities Maintenance,Expense,5L,Facilities Maintenance,1100400
FY16-17,Facilities Maintenance,Expense,5P,Facilities Maintenance,2946857
FY16-17,Facilities Maintenance,Expense,5T,Facilities Maintenance,14722000
FY16-17,Facilities Maintenance,Expense,5W,Facilities Maintenance,16946000
FY16-17,Fines, Forfeitures & Penalties,Revenue,1G,Fines, Forfeitures & Penalties,4577144
FY16-17,Fines, Forfeitures & Penalties,Revenue,2S,Fines, Forfeitures & Penalties,4847204
FY16-17,Fines, Forfeitures & Penalties,Revenue,4D,Fines, Forfeitures & Penalties,15040215
FY16-17,Fines, Forfeitures & Penalties,Revenue,5A,Fines, Forfeitures & Penalties,253000
FY16-17,Fines, Forfeitures & Penalties,Revenue,5M,Fines, Forfeitures & Penalties,2580000
FY16-17,Fines, Forfeitures & Penalties,Revenue,5N,Fines, Forfeitures & Penalties,86200000
FY16-17,Fines, Forfeitures & Penalties,Revenue,5O,Fines, Forfeitures & Penalties,70000
FY16-17,Fines, Forfeitures & Penalties,Revenue,5P,Fines, Forfeitures & Penalties,3073000
FY16-17,General Fund Support,Revenue,2S,General Fund Support,97700000
FY16-17,General Fund Support,Revenue,5H,General Fund Support,216733981
FY16-17,General Fund Support,Revenue,5L,General Fund Support,75390571
FY16-17,General Fund Support,Revenue,5M,General Fund Support,197800000
FY16-17,General Fund Support,Revenue,5N,General Fund Support,74200000
FY16-17,ISF Charges for Services,Revenue,5H,ISF Charges for Services,2569888
FY16-17,Interest & Investment Income,Revenue,1G,Interest & Investment Income,10680000
FY16-17,Interest & Investment Income,Revenue,2S,Interest & Investment Income,1812160
FY16-17,Interest & Investment Income,Revenue,5A,Interest & Investment Income,5432000
FY16-17,Interest & Investment Income,Revenue,5C,Interest & Investment Income,1379704
FY16-17,Interest & Investment Income,Revenue,5M,Interest & Investment Income,1510000
FY16-17,Interest & Investment Income,Revenue,5N,Interest & Investment Income,430000
FY16-17,Interest & Investment Income,Revenue,5O,Interest & Investment Income,40000
FY16-17,Interest & Investment Income,Revenue,5P,Interest & Investment Income,600000
FY16-17,Interest & Investment Income,Revenue,5T,Interest & Investment Income,537767
