budget_year,department,account_type,fund_code,account_category,amount
FY11-12,Aid Assistance,Expense,1G,Aid Assistance,39199167
FY11-12,Aid Payments,Expense,1G,Aid Payments,256637863
FY11-12,Allocated Charges,Expense,2S,Allocated Charges,3249486
FY11-12,Business Taxes,Revenue,1G,Business Taxes,342350000
FY11-12,Business Taxes,Revenue,2S,Business Taxes,900000
FY11-12,Capital Outlay,Expense,1G,Capital Outlay,22245749
FY11-12,Capital Outlay,Expense,2S,Capital Outlay,10437016
FY11-12,Capital Outlay,Expense,3C,Capital Outlay,24377451
FY11-12,Capital Outlay,Expense,5A,Capital Outlay,70145458
FY11-12,Capital Outlay,Expense,5C,Capital Outlay,8084074
FY11-12,Capital Outlay,Expense,5H,Capital Outlay,2028443
FY11-12,Capital Outlay,Expense,5L,Capital Outlay,55138
FY11-12,Capital Outlay,Expense,5M,Capital Outlay,1695061
FY11-12,Capital Outlay,Expense,5N,Capital Outlay,1724625
FY11-12,Capital Outlay,Expense,5O,Capital Outlay,25185
FY11-12,Capital Outlay,Expense,5P,Capital Outlay,11343411
FY11-12,Capital Outlay,Expense,5T,Capital Outlay,35874427
FY11-12,Capital Outlay,Expense,5W,Capital Outlay,9015082
FY11-12,Capital Outlay,Expense,6I,Capital Outlay,16428001
FY11-12,Capital Outlay,Expense,7P,Capital Outlay,44013
FY11-12,Charges for Services,Revenue,1G,Charges for Services,146080807
FY11-12,Charges for Services,Revenue,2S,Charges for Services,80131252
FY11-12,Charges for Services,Revenue,5A,Charges for Services,456247589
FY11-12,Charges for Services,Revenue,5C,Charges for Services,218940152
FY11-12,Charges for Services,Revenue,5H,Charges for Services,552357258
FY11-12,Charges for Services,Revenue,5L,Charges for Services,126130356
FY11-12,Charges for Services,Revenue,5M,Charges for Services,193463421
FY11-12,Charges for Services,Revenue,5N,Charges for Services,9388770
FY11-12,Charges for Services,Revenue,5O,Charges for Services,428341
FY11-12,Charges for Services,Revenue,5P,Charges for Services,12254000
FY11-12,Charges for Services,Revenue,5T,Charges for Services,100146879
FY11-12,Charges for Services,Revenue,5W,Charges for Services,304145613
FY11-12,City Grant Programs,Expense,1G,City Grant Programs,150298643
FY11-12,City Grant Programs,Expense,2S,City Grant Programs,124136154
FY11-12,City Grant Programs,Expense,5T,City Grant Programs,110000
FY11-12,City Grant Programs,Expense,5W,City Grant Programs,1360000
FY11-12,City Grant Programs,Expense,7E,City Grant Programs,111350
FY11-12,Contributions (Ret, HSS, Health Care),Revenue,7P,Contributions (Ret, HSS, Health Care),18866321
FY11-12,Debt Service,Expense,1G,Debt Service,1186930
FY11-12,Debt Service,Expense,4D,Debt Service,203869690
FY11-12,Debt Service,Expense,5A,Debt Service,328291154
FY11-12,Debt Service,Expense,5C,Debt Service,62536219
FY11-12,Debt Service,Expense,5H,Debt Service,2500
FY11-12,Debt Service,Expense,5L,Debt Service,12755726
FY11-12,Debt Service,Expense,5P,Debt Service,3075050
FY11-12,Debt Service,Expense,5T,Debt Service,1546668
FY11-12,Debt Service,Expense,5W,Debt Service,117534329
FY11-12,Debt Service,Expense,5X,Debt Service,2693805
FY11-12,Expenditure Recovery,Revenue,1G,Expenditure Recovery,332084754
FY11-12,Expenditure Recovery,Revenue,2S,Expenditure Recovery,169577685
FY11-12,Expenditure Recovery,Revenue,5A,Expenditure Recovery,22000
FY11-12,Expenditure Recovery,Revenue,5C,Expenditure Recovery,6632300
FY11-12,Expenditure Recovery,Revenue,5H,Expenditure Recovery,4133127
FY11-12,Expenditure Recovery,Revenue,5M,Expenditure Recovery,54264204
FY11-12,Expenditure Recovery,Revenue,5N,Expenditure Recovery,3735741
FY11-12,Expenditure Recovery,Revenue,5P,Expenditure Recovery,267001
FY11-12,Expenditure Recovery,Revenue,5T,Expenditure Recovery,79526070
FY11-12,Expenditure Recovery,Revenue,5W,Expenditure Recovery,139962022
FY11-12,Expenditure Recovery,Revenue,6I,Expenditure Recovery,94895872
FY11-12,Expenditure Recovery,Revenue,7P,Expenditure Recovery,25000
FY11-12,Facilities Maintenance,Expense,1G,Facilities Maintenance,8552985
FY11-12,Facilities Maintenance,Expense,2S,Facilities Maintenance,950500
FY11-12,Facilities Maintenance,Expense,5A,Facilities Maintenance,6000000
FY11-12,Facilities Maintenance,Expense,5C,Facilities Maintenance,2181395
FY11-12,Facilities Maintenance,Expense,5H,Facilities Maintenance,1000000
FY11-12,Facilities Maintenance,Expense,5L,Facilities Maintenance,1000000
FY11-12,Facilities Maintenance,Expense,5P,Facilities Maintenance,4270539
FY11-12,Facilities Maintenance,Expense,5T,Facilities Maintenance,3552819
FY11-12,Facilities Maintenance,Expense,5W,Facilities Maintenance,8124000
FY11-12,Facilities Maintenance,Expense,8A,Facilities Maintenance,243442
FY11-12,Fines, Forfeitures & Penalties,Revenue,1G,Fines, Forfeitures & Penalties,3794036
FY11-12,Fines, Forfeitures & Penalties,Revenue,2S,Fines, Forfeitures & Penalties,3988746
FY11-12,Fines, Forfeitures & Penalties,Revenue,5A,Fines, Forfeitures & Penalties,263000
FY11-12,Fines, Forfeitures & Penalties,Revenue,5M,Fines, Forfeitures & Penalties,99391195
FY11-12,Fines, Forfeitures & Penalties,Revenue,5N,Fines, Forfeitures & Penalties,3516000
FY11-12,Fines, Forfeitures & Penalties,Revenue,5P,Fines, Forfeitures & Penalties,1600000
FY11-12,General Fund Support,Revenue,2S,General Fund Support,70924386
FY11-12,General Fund Support,Revenue,5H,General Fund Support,38115805
FY11-12,General Fund Support,Revenue,5L,General Fund Support,39907303
FY11-12,General Fund Support,Revenue,5M,General Fund Support,127270000
FY11-12,General Fund Support,Revenue,5N,General Fund Support,47720000
FY11-12,ISF Charges for Services,Revenue,5H,ISF Charges for Services,1241557
FY11-12,Interest & Investment Income,Revenue,1G,Interest & Investment Income,9539586
FY11-12,Interest & Investment Income,Revenue,2S,Interest & Investment Income,1819099
FY11-12,Interest & Investment Income,Revenue,3C,Interest & Investment Income,1200000
FY11-12,Interest & Investment Income,Revenue,5A,Interest & Investment Income,17795000
FY11-12,Interest & Investment Income,Revenue,5C,Interest & Investment Income,1245924
FY11-12,Interest & Investment Income,Revenue,5M,Interest & Investment Income,1105000
FY11-12,Interest & Investment Income,Revenue,5N,Interest & Investment Income,637500
FY11-12,Interest & Investment Income,Revenue,5P,Interest & Investment Income,795000
FY11-12,Interest & Investment Income,Revenue,5T,Interest & Investment Income,1902160
FY11-12,Interest & Investment Income,Revenue,5W,Interest & Investment Income,1735045
FY11-12,Interest & Investment Income,Revenue,5X,Interest & Investment Income,637500
FY11-12,Interest & Investment Income,Revenue,7A,Interest & Investment Income,81000
FY11-12,Interest & Investment Income,Revenue,7E,Interest & Investment Income,115000
FY11-12,Interest & Investment Income,Revenue,7P,Interest & Investment Income,250000
FY11-12,Intergovernmental Revenues-Federal,Revenue,1G,Intergovernmental Revenues-Federal,236610029
FY11-12,Intergovernmental Revenues-Federal,Revenue,2S,Intergovernmental Revenues-Federal,118588847
FY11-12,Intergovernmental Revenues-Federal,Revenue,3C,Intergovernmental Revenues-Federal,4123195
FY11-12,Intergovernmental Revenues-Federal,Revenue,5A,Intergovernmental Revenues-Federal,51139558
FY11-12,Intergovernmental Revenues-Federal,Revenue,5H,Intergovernmental Revenues-Federal,13770439
FY11-12,Intergovernmental Revenues-Federal,Revenue,5L,Intergovernmental Revenues-Federal,2963000
FY11-12,Intergovernmental Revenues-Federal,Revenue,5M,Intergovernmental Revenues-Federal,3921868
FY11-12,Intergovernmental Revenues-Other,Revenue,2S,Intergovernmental Revenues-Other,405837
FY11-12,Intergovernmental Revenues-Other,Revenue,5M,Intergovernmental Revenues-Other,94246865
FY11-12,Intergovernmental Revenues-State,Revenue,1G,Intergovernmental Revenues-State,434927097
FY11-12,Intergovernmental Revenues-State,Revenue,2S,Intergovernmental Revenues-State,86780330
FY11-12,Intergovernmental Revenues-State,Revenue,3C,Intergovernmental Revenues-State,4171699
FY11-12,Intergovernmental Revenues-State,Revenue,4D,Intergovernmental Revenues-State,750000
FY11-12,Intergovernmental Revenues-State,Revenue,5H,Intergovernmental Revenues-State,80585612
FY11-12,Intergovernmental Revenues-State,Revenue,5M,Intergovernmental Revenues-State,25181889
FY11-12,Intergovernmental Revenues-State,Revenue,5N,Intergovernmental Revenues-State,2949378
FY11-12,Intergovernmental Revenues-State,Revenue,7A,Intergovernmental Revenues-State,84315758
FY11-12,Intrafund Transfers In,Revenue,1G,Intrafund Transfers In,124258919
FY11-12,Intrafund Transfers In,Revenue,2S,Intrafund Transfers In,32907577
FY11-12,Intrafund Transfers In,Revenue,5A,Intrafund Transfers In,118365012
FY11-12,Intrafund Transfers In,Revenue,5C,Intrafund Transfers In,16358832
FY11-12,Intrafund Transfers In,Revenue,5H,Intrafund Transfers In,45429474
FY11-12,Intrafund Transfers In,Revenue,5L,Intrafund Transfers In,1000000
FY11-12,Intrafund Transfers In,Revenue,5M,Intrafund Transfers In,170000
FY11-12,Intrafund Transfers In,Revenue,5N,Intrafund Transfers In,10902699
FY11-12,Intrafund Transfers In,Revenue,5P,Intrafund Transfers In,15132746
FY11-12,Intrafund Transfers In,Revenue,5T,Intrafund Transfers In,68426477
FY11-12,Intrafund Transfers In,Revenue,5W,Intrafund Transfers In,46179072
FY11-12,Intrafund Transfers Out,Expense,1G,Intrafund Transfers Out,124258919
FY11-12,Intrafund Transfers Out,Expense,2S,Intrafund Transfers Out,33943067
FY11-12,Intrafund Transfers Out,Expense,5A,Intrafund Transfers Out,118365012
FY11-12,Intrafund Transfers Out,Expense,5C,Intrafund Transfers Out,16358832
FY11-12,Intrafund Transfers Out,Expense,5H,Intrafund Transfers Out,45429474
FY11-12,Intrafund Transfers Out,Expense,5L,Intrafund Transfers Out,1000000
FY11-12,Intrafund Transfers Out,Expense,5M,Intrafund Transfers Out,170000
FY11-12,Intrafund Transfers Out,Expense,5N,Intrafund Transfers Out,10902699
FY11-12,Intrafund Transfers Out,Expense,5P,Intrafund Transfers Out,15132746
FY11-12,Intrafund Transfers Out,Expense,5T,Intrafund Transfers Out,68426477
FY11-12,Intrafund Transfers Out,Expense,5W,Intrafund Transfers Out,46179072
FY11-12,Licenses, Permits & Franchises,Revenue,1G,Licenses, Permits & Franchises,23242394
FY11-12,Licenses, Permits & Franchises,Revenue,2S,Licenses, Permits & Franchises,8809591
FY11-12,Licenses, Permits & Franchises,Revenue,5N,Licenses, Permits & Franchises,6778447
