budget_year,department,account_type,fund_code,account_category,amount
FY19-20,Aid Assistance,Expense,1G,Aid Assistance,27148603
FY19-20,Aid Assistance,Expense,2S,Aid Assistance,2126355
FY19-20,Aid Payments,Expense,1G,Aid Payments,314886861
FY19-20,Allocated Charges,Expense,2S,Allocated Charges,1502692
FY19-20,Allocated Charges,Expense,7S,Allocated Charges,39301
FY19-20,Business Taxes,Revenue,1G,Business Taxes,762500000
FY19-20,Business Taxes,Revenue,2S,Business Taxes,1900000
FY19-20,Capital Outlay,Expense,1G,Capital Outlay,102794906
FY19-20,Capital Outlay,Expense,2S,Capital Outlay,80845001
FY19-20,Capital Outlay,Expense,3C,Capital Outlay,2850000
FY19-20,Capital Outlay,Expense,5A,Capital Outlay,25220799
FY19-20,Capital Outlay,Expense,5C,Capital Outlay,930144
FY19-20,Capital Outlay,Expense,5H,Capital Outlay,16998816
FY19-20,Capital Outlay,Expense,5L,Capital Outlay,1321489
FY19-20,Capital Outlay,Expense,5M,Capital Outlay,32200000
FY19-20,Capital Outlay,Expense,5N,Capital Outlay,11040000
FY19-20,Capital Outlay,Expense,5P,Capital Outlay,5803572
FY19-20,Capital Outlay,Expense,5T,Capital Outlay,2381032
FY19-20,Capital Outlay,Expense,5W,Capital Outlay,9718758
FY19-20,Capital Outlay,Expense,6I,Capital Outlay,2619163
FY19-20,Charges for Services,Revenue,1G,Charges for Services,241536162
FY19-20,Charges for Services,Revenue,2S,Charges for Services,111422710
FY19-20,Charges for Services,Revenue,5A,Charges for Services,629375500
FY19-20,Charges for Services,Revenue,5C,Charges for Services,292918590
FY19-20,Charges for Services,Revenue,5H,Charges for Services,719834242
FY19-20,Charges for Services,Revenue,5L,Charges for Services,173529409
FY19-20,Charges for Services,Revenue,5M,Charges for Services,243790100
FY19-20,Charges for Services,Revenue,5N,Charges for Services,22936000
FY19-20,Charges for Services,Revenue,5O,Charges for Services,150000
FY19-20,Charges for Services,Revenue,5P,Charges for Services,22341000
FY19-20,Charges for Services,Revenue,5Q,Charges for Services,40257512
FY19-20,Charges for Services,Revenue,5T,Charges for Services,49754177
FY19-20,Charges for Services,Revenue,5W,Charges for Services,470400986
FY19-20,Charges for Services,Revenue,5X,Charges for Services,5000
FY19-20,Charges for Services,Revenue,6I,Charges for Services,700000
FY19-20,City Grant Programs,Expense,1G,City Grant Programs,348656042
FY19-20,City Grant Programs,Expense,2S,City Grant Programs,314273627
FY19-20,City Grant Programs,Expense,5C,City Grant Programs,250000
FY19-20,City Grant Programs,Expense,5W,City Grant Programs,2356694
FY19-20,City Grant Programs,Expense,7S,City Grant Programs,4055000
FY19-20,Contributions (Ret, HSS, Health Care),Revenue,7P,Contributions (Ret, HSS, Health Care),29669830
FY19-20,Contributions (Ret, HSS, Health Care),Revenue,7R,Contributions (Ret, HSS, Health Care),82429000
FY19-20,Debt Service,Expense,1G,Debt Service,23070952
FY19-20,Debt Service,Expense,2S,Debt Service,12568841
