budget_year,department,account_type,fund_code,account_category,amount
FY12-13,Aid Assistance,Expense,1G,Aid Assistance,43997528
FY12-13,Aid Assistance,Expense,2S,Aid Assistance,100000
FY12-13,Aid Payments,Expense,1G,Aid Payments,265929124
FY12-13,Allocated Charges,Expense,2S,Allocated Charges,1502850
FY12-13,Business Taxes,Revenue,1G,Business Taxes,389878000
FY12-13,Business Taxes,Revenue,2S,Business Taxes,735000
FY12-13,Capital Outlay,Expense,1G,Capital Outlay,33870973
FY12-13,Capital Outlay,Expense,2S,Capital Outlay,19786586
FY12-13,Capital Outlay,Expense,3C,Capital Outlay,1540000
FY12-13,Capital Outlay,Expense,5A,Capital Outlay,41030235
FY12-13,Capital Outlay,Expense,5C,Capital Outlay,4501997
FY12-13,Capital Outlay,Expense,5H,Capital Outlay,3670868
FY12-13,Capital Outlay,Expense,5L,Capital Outlay,174995
FY12-13,Capital Outlay,Expense,5M,Capital Outlay,909375
FY12-13,Capital Outlay,Expense,5N,Capital Outlay,377775
FY12-13,Capital Outlay,Expense,5P,Capital Outlay,15914015
FY12-13,Capital Outlay,Expense,5T,Capital Outlay,36205987
FY12-13,Capital Outlay,Expense,5W,Capital Outlay,3920001
FY12-13,Capital Outlay,Expense,6I,Capital Outlay,10985479
FY12-13,Capital Outlay,Expense,7P,Capital Outlay,69065
FY12-13,Charges for Services,Revenue,1G,Charges for Services,153545551
FY12-13,Charges for Services,Revenue,2S,Charges for Services,83841829
FY12-13,Charges for Services,Revenue,5A,Charges for Services,487445000
FY12-13,Charges for Services,Revenue,5C,Charges for Services,224842880
FY12-13,Charges for Services,Revenue,5H,Charges for Services,564002242
FY12-13,Charges for Services,Revenue,5L,Charges for Services,130872621
FY12-13,Charges for Services,Revenue,5M,Charges for Services,197863421
FY12-13,Charges for Services,Revenue,5N,Charges for Services,9403770
FY12-13,Charges for Services,Revenue,5O,Charges for Services,469543
FY12-13,Charges for Services,Revenue,5P,Charges for Services,13552000
FY12-13,Charges for Services,Revenue,5T,Charges for Services,105302419
FY12-13,Charges for Services,Revenue,5W,Charges for Services,334677033
FY12-13,City Grant Programs,Expense,1G,City Grant Programs,152743836
FY12-13,City Grant Programs,Expense,2S,City Grant Programs,132850105
FY12-13,City Grant Programs,Expense,5W,City Grant Programs,1580000
FY12-13,City Grant Programs,Expense,7E,City Grant Programs,76350
FY12-13,Contributions (Ret, HSS, Health Care),Revenue,7P,Contributions (Ret, HSS, Health Care),18169819
FY12-13,Contributions (Ret, HSS, Health Care),Revenue,7R,Contributions (Ret, HSS, Health Care),6450000
FY12-13,Debt Service,Expense,1G,Debt Service,3604064
FY12-13,Debt Service,Expense,2S,Debt Service,590231
FY12-13,Debt Service,Expense,4D,Debt Service,189859040
FY12-13,Debt Service,Expense,5A,Debt Service,342780901
FY12-13,Debt Service,Expense,5C,Debt Service,53808845
FY12-13,Debt Service,Expense,5H,Debt Service,1704013
FY12-13,Debt Service,Expense,5P,Debt Service,3850937
FY12-13,Debt Service,Expense,5T,Debt Service,1845468
FY12-13,Debt Service,Expense,5W,Debt Service,159556311
FY12-13,Debt Service,Expense,5X,Debt Service,2690660
FY12-13,Expenditure Recovery,Revenue,1G,Expenditure Recovery,342490995
FY12-13,Expenditure Recovery,Revenue,2S,Expenditure Recovery,176224161
